,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist
9464,painkiller,Ruel,1YlulsUKDduOmC7WxvXYPW,0.6829999999999999,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621,213507,Painkiller - Ruel
9465,dazed & confused,Ruel,2pyjbGTpJCPjMYwCbdymiF,0.688,0.5,2,-7.4110000000000005,1,0.138,0.102,0.0,0.355,0.418,127.906,189608,Dazed & Confused - Ruel
9466,younger,Ruel,2qXicQG06oT0ijKBznpgQv,0.745,0.47700000000000004,11,-7.706,0,0.08800000000000001,0.20199999999999999,0.0,0.12,0.45399999999999996,136.055,222320,Younger - Ruel
9467,reckless,Madison Beer,5ajjAnNRh8bxFvaVHzpPjh,0.386,0.426,3,-6.642,1,0.0363,0.807,0.0,0.14,0.261,180.104,203385,Reckless - Madison Beer
9468,villain,K/DA,3QSjVPObHxuAJc3E5nrjRn,0.653,0.634,5,-5.875,0,0.0391,0.0232,0.0,0.0908,0.306,160.013,199125,VILLAIN - K/DA
9469,more,K/DA,6juLaduD4STCUDWT0AYun4,0.66,0.787,1,-4.592,0,0.032,0.00257,0.0,0.32299999999999995,0.19899999999999998,142.018,217088,MORE - K/DA
9470,hurts so good,Astrid S,46u5B2WN4wryYLZuMAOmI4,0.672,0.625,7,-5.0680000000000005,0,0.0468,0.0774,0.0,0.0934,0.423,120.038,208729,Hurts So Good - Astrid S
9471,i don't know why,NOTD,0ZXdzaT1k688dkpNeEgQiV,0.499,0.898,8,-4.181,0,0.124,0.124,7.2000000000000005e-06,0.0832,0.618,120.04,207668,I Don't Know Why - NOTD
9472,sing it with me,JP Cooper,4Q6wZlZhrwVVmGhJtmGUtG,0.54,0.7929999999999999,5,-4.379,1,0.0492,0.0744,0.0,0.354,0.4,112.219,201199,Sing It With Me - JP Cooper
9473,think before i talk,Astrid S,0W23tLZdwTqLwcmZ3eUhLp,0.7709999999999999,0.599,5,-5.587999999999999,1,0.157,0.36700000000000005,0.0,0.149,0.535,122.005,184909,Think Before I Talk - Astrid S
9474,welcome to wonderland,Anson Seabra,3JfHYZKy5JmE5Fv4gDTCiz,0.703,0.179,4,-10.905999999999999,1,0.0366,0.9490000000000001,0.0,0.102,0.34600000000000003,97.427,199131,Welcome to Wonderland - Anson Seabra
9475,s.l.u.t.,Bea Miller,6h3lMAmmpQDFqoHk9F99IR,0.722,0.773,5,-4.378,0,0.0792,0.0598,0.0,0.179,0.7240000000000001,94.99700000000001,179147,S.L.U.T. - Bea Miller
9476,we can't stop,Boyce Avenue,6owKuyHxUqidcAA6fPKSyy,0.705,0.34700000000000003,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,222146,We Can't Stop - Boyce Avenue
